,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
383,beloha,-25.17,45.05,66.96,84,1,10.98,MG,1597681896
384,hualmay,-11.1,-77.61,65.35,65,98,10.16,PE,1597681896
385,kindu,-2.95,25.95,82.36,53,86,3.44,CD,1597681896
386,puerto morazan,12.85,-87.17,84.2,70,75,4.7,NI,1597681897
387,aktau,43.65,51.2,69.8,49,0,6.71,KZ,1597681897
388,dunedin,-45.87,170.5,43.0,83,44,1.99,NZ,1597681673
389,yerbogachen,61.28,108.01,48.07,60,0,1.34,RU,1597681857
390,lavrentiya,65.58,-171.0,45.37,89,100,0.87,RU,1597681898
391,talnakh,69.49,88.4,59.0,58,1,4.47,RU,1597681898
392,balkhash,46.84,74.98,75.78,28,0,6.82,KZ,1597681898
393,iralaya,15.0,-83.23,78.8,94,90,5.59,HN,1597681898
394,kota kinabalu,5.97,116.07,77.0,94,20,3.36,MY,1597681898
395,silver city,32.77,-108.28,81.0,34,90,12.75,US,1597681899
396,santa cecilia,-26.96,-50.43,62.04,80,80,2.84,BR,1597681609
397,ternate,0.8,127.4,79.92,83,100,8.7,ID,1597681899
398,krasnoselkup,65.7,82.47,57.31,92,39,8.19,RU,1597681899
399,vila,42.03,-8.16,68.0,94,75,10.29,PT,1597681900
400,gobindapur,22.59,88.09,84.2,94,40,3.36,IN,1597681900
401,luchingu,-10.9,39.33,68.92,52,92,7.81,TZ,1597681900
402,petropavlovsk-kamchatskiy,53.05,158.65,53.6,100,75,4.47,RU,1597681900
403,kumluca,36.37,30.29,84.9,41,0,6.6,TR,1597681901
404,vanavara,60.34,102.28,50.0,62,66,5.86,RU,1597681901
405,port hardy,50.7,-127.42,62.6,88,40,4.7,CA,1597681901
406,vagur,61.47,-6.81,51.78,92,34,15.28,FO,1597681901
407,oranjemund,-28.55,16.43,55.31,75,4,2.84,NA,1597681901
408,ust-tsilma,65.44,52.15,47.68,95,100,4.68,RU,1597681902
409,iwaki,37.05,140.88,81.0,88,63,2.44,JP,1597681902
410,college,64.86,-147.8,55.0,76,40,4.7,US,1597681902
411,marawi,8.0,124.29,73.99,95,100,5.01,PH,1597681892
412,guiyang,26.58,106.72,69.8,83,75,4.47,CN,1597681902
413,pinhao,-25.7,-51.66,71.89,61,21,1.41,BR,1597681902
414,zhigansk,66.77,123.37,46.56,56,41,7.05,RU,1597681903
415,canberra,-35.28,149.13,43.0,85,93,4.54,AU,1597681802
416,casambalangan,18.38,122.13,78.31,78,100,1.88,PH,1597681903
417,zhoucheng,35.91,116.31,79.65,92,0,5.75,CN,1597681903
418,coralville,41.68,-91.58,78.8,65,1,8.05,US,1597681904
419,komatipoort,-25.43,31.95,61.0,77,74,3.36,ZA,1597681904
420,inhambane,-23.86,35.38,71.6,73,75,10.29,MZ,1597681904
421,flinders,-34.58,150.86,57.0,59,50,8.01,AU,1597681904
422,laguna,38.42,-121.42,93.0,43,1,9.17,US,1597681904
423,at-bashi,41.17,75.81,63.57,50,78,4.38,KG,1597681890
424,bereda,43.27,-7.54,68.0,100,100,7.0,ES,1597681905
425,itapirapua,-15.82,-50.61,101.19,14,0,6.51,BR,1597681905
426,nueve de julio,-35.44,-60.88,66.99,24,0,5.01,AR,1597681905
427,kuryk,43.2,51.65,71.55,50,0,9.55,KZ,1597681906
428,muros,42.78,-9.06,71.01,93,90,6.93,ES,1597681906
429,guerrero negro,27.98,-114.06,81.63,51,52,9.71,MX,1597681906
430,sao joao da barra,-21.64,-41.05,86.0,55,40,6.93,BR,1597681906
431,klaksvik,62.23,-6.59,55.4,82,35,10.29,FO,1597681906
432,pudozh,61.81,36.53,55.09,66,45,4.59,RU,1597681906
433,cerritos,33.86,-118.06,82.99,65,75,3.36,US,1597681907
434,acarau,-2.89,-40.12,89.64,40,10,19.44,BR,1597681907
435,scarborough,54.28,-0.4,68.0,85,99,4.0,GB,1597681849
436,bujanovac,42.46,21.77,80.01,58,35,3.0,RS,1597681908
437,kharan,28.58,65.42,100.24,13,56,6.2,PK,1597681908
438,palmer,42.16,-72.33,77.0,56,40,3.36,US,1597681786
439,marienburg,54.04,19.03,82.0,47,82,7.72,PL,1597681908
440,wattegama,6.8,81.48,82.4,83,56,9.17,LK,1597681908
441,santa cruz,-17.8,-63.17,60.8,100,90,13.87,BO,1597681782
442,cabo san lucas,22.89,-109.91,89.6,58,5,5.82,MX,1597681715
443,marzuq,14.4,46.47,92.44,21,76,1.68,YE,1597681909
444,taltal,-25.4,-70.48,59.61,60,7,8.28,CL,1597681909
445,williamsburg,37.27,-76.71,79.0,74,40,2.42,US,1597681909
446,waipawa,-41.41,175.52,39.2,93,1,3.36,NZ,1597681910
447,craigieburn,-37.6,144.95,51.8,81,87,19.46,AU,1597681910
448,manado,1.49,124.85,75.2,94,20,2.24,ID,1597681910
449,nybro,56.74,15.91,77.0,69,33,6.93,SE,1597681910
450,hanyang,32.14,105.51,60.01,83,100,14.0,CN,1597681911
451,boke,10.94,-14.3,80.2,85,85,10.4,GN,1597681911
452,foam lake,51.65,-103.53,77.04,52,0,8.86,CA,1597681911
453,honiara,-9.43,159.95,75.2,94,20,3.36,SB,1597681911
454,concarneau,47.88,-3.92,69.8,68,75,11.41,FR,1597681911
455,caravaggio,45.5,9.64,82.0,54,20,6.93,IT,1597681912
456,lamu,-2.27,40.9,75.06,82,100,13.8,KE,1597681912
457,do gonbadan,30.36,50.8,96.8,20,0,2.17,IR,1597681912
458,huanren,41.26,125.37,72.5,92,99,5.17,CN,1597681912
459,montepuez,-13.13,39.0,74.88,41,26,10.13,MZ,1597681913
460,riyadh,24.69,46.72,102.2,12,72,10.29,SA,1597681906
461,linguere,15.4,-15.12,98.15,39,89,8.52,SN,1597681913
462,elko,41.0,-115.5,80.01,22,37,8.99,US,1597681913
463,floro,61.6,5.03,68.0,77,20,4.7,NO,1597681913
464,baykit,61.67,96.37,53.91,64,100,3.33,RU,1597681913
465,dutse,11.76,9.34,86.81,63,64,5.26,NG,1597681914
466,pochutla,15.74,-96.47,88.0,66,40,9.17,MX,1597681914
467,nanga eboko,4.68,12.37,73.72,95,80,2.91,CM,1597681914
468,molteno,-31.4,26.36,47.01,40,34,15.01,ZA,1597681914
469,sandi,27.3,79.95,86.25,72,35,5.44,IN,1597681914
470,leningradskiy,69.38,178.42,40.08,79,60,17.07,RU,1597681915
471,troy,42.61,-83.15,79.0,36,75,10.29,US,1597681783
472,cap malheureux,-19.98,57.61,71.01,69,3,3.0,MU,1597681864
473,yuksekova,37.57,44.29,75.2,44,40,20.8,TR,1597681915
474,kulunda,52.57,78.94,65.84,51,90,6.85,RU,1597681915
475,beipiao,41.79,120.78,74.82,93,100,7.07,CN,1597681916
476,quatre cocos,-20.21,57.76,71.6,73,40,9.17,MU,1597681916
477,inza,53.85,46.36,53.6,63,0,9.62,RU,1597681916
478,kashary,49.04,41.01,72.97,55,16,7.58,RU,1597681917
479,diego de almagro,-26.37,-70.05,70.68,19,0,9.44,CL,1597681917
480,goya,-29.14,-59.26,72.19,22,0,6.98,AR,1597681917
481,beeville,28.4,-97.75,91.99,63,1,3.36,US,1597681918
482,kholodnyy,62.72,147.95,45.86,88,100,3.04,RU,1597681918
483,porto novo,6.5,2.6,80.6,74,20,13.87,BJ,1597681918
484,matara,5.95,80.54,79.29,86,42,9.1,LK,1597681918
485,saint-francois,46.42,3.91,79.0,44,94,8.05,FR,1597681919
486,banff,51.18,-115.57,71.01,49,98,7.0,CA,1597681919
487,okhotsk,59.38,143.3,54.61,90,100,5.44,RU,1597681919
488,yagodnoye,62.55,149.67,45.88,88,100,3.87,RU,1597681919
489,tars,36.92,34.88,89.6,51,0,10.29,TR,1597681918
490,sargatskoye,55.61,73.5,59.54,63,31,5.48,RU,1597681919
491,araouane,18.9,-3.53,106.5,20,0,8.95,ML,1597681919
492,guangyuan,32.44,105.82,60.01,83,100,14.0,CN,1597681920
493,san juan bautista,-14.01,-75.74,64.0,77,75,9.17,PE,1597681920
494,ban nahin,18.24,104.21,73.31,89,100,1.05,LA,1597681920
495,bilibino,68.05,166.44,36.3,89,97,7.87,RU,1597681920
496,tarko-sale,64.92,77.78,55.0,92,70,7.43,RU,1597681921
497,ambilobe,-13.2,49.05,71.98,68,27,4.54,MG,1597681921
498,manitouwadge,49.12,-85.84,64.4,59,75,12.75,CA,1597681921
499,bathsheba,13.22,-59.52,84.2,83,75,20.8,BB,1597681921
500,korla,41.76,86.15,82.72,20,45,5.86,CN,1597681921
501,minden,52.28,8.92,73.0,78,90,6.93,DE,1597681639
502,poum,-20.23,164.02,71.6,87,74,20.69,NC,1597681922
503,matao,-21.6,-48.37,75.18,58,97,11.63,BR,1597681922
504,minab,27.15,57.08,93.2,67,15,4.7,IR,1597681922
505,muli,2.92,73.57,83.48,66,90,1.92,MV,1597681923
506,gorontalo,0.54,123.06,76.1,81,95,4.25,ID,1597681923
507,wilmington,34.23,-77.94,82.0,69,75,4.7,US,1597681884
508,mount isa,-20.73,139.5,51.8,28,0,7.4,AU,1597681923
509,wabrzezno,53.28,18.95,69.01,83,82,1.01,PL,1597681923
510,bhawanipatna,19.9,83.17,76.68,87,95,5.93,IN,1597681923
511,jiwani,25.05,61.74,82.63,82,60,9.01,PK,1597681923
512,maryville,35.76,-83.97,82.99,57,75,4.7,US,1597681767
513,kamiiso,41.82,140.65,66.4,83,98,4.63,JP,1597681924
514,aranos,-24.13,19.12,67.15,19,0,22.75,NA,1597681924
515,port-cartier,50.03,-66.87,66.2,77,75,14.99,CA,1597681924
516,tecoanapa,16.52,-98.75,82.35,81,100,7.52,MX,1597681924
517,mocuba,-16.84,36.99,71.76,79,20,8.12,MZ,1597681924
518,iwanai,42.97,140.51,62.85,85,100,1.36,JP,1597681925
519,conde,-7.26,-34.91,84.2,62,40,17.22,BR,1597681925
520,leh,34.17,77.58,72.34,20,2,4.07,IN,1597681925
521,hirara,24.8,125.28,84.29,80,83,16.62,JP,1597681925
522,ravar,31.27,56.81,85.66,19,0,5.19,IR,1597681925
523,paris,48.85,2.35,75.0,56,75,11.41,FR,1597681629
524,auki,-8.77,160.7,77.2,85,89,3.71,SB,1597681925
525,eureka,40.8,-124.16,57.99,100,99,7.29,US,1597681721
526,vitim,59.45,112.56,45.81,66,0,0.67,RU,1597681926
527,beyla,8.68,-8.63,77.92,84,63,3.62,GN,1597681927
528,tsiroanomandidy,-18.77,46.03,70.36,37,0,3.02,MG,1597681927
529,alyangula,-13.85,136.42,57.2,93,0,4.14,AU,1597681927
530,cedar city,37.68,-113.06,80.6,13,1,4.7,US,1597681927
531,rohnert park,38.34,-122.7,73.99,65,100,1.01,US,1597681927
532,pierre,44.37,-100.35,82.4,39,1,2.71,US,1597681928
533,sorong,-0.88,131.25,79.23,86,84,12.91,ID,1597681928
534,issenye,-2.0,34.33,79.0,36,91,1.23,TZ,1597681928
535,namie,37.48,141.0,77.0,89,7,3.29,JP,1597681928
536,fukue,32.69,128.84,82.81,73,0,6.6,JP,1597681928
537,gizo,-8.1,156.84,80.29,83,70,11.7,SB,1597681928
538,prabumulih,-3.45,104.25,74.44,96,30,3.06,ID,1597681929
539,santa barbara,34.42,-119.7,79.0,69,1,6.93,US,1597681925
540,mezen,65.85,44.24,47.1,95,100,1.52,RU,1597681929
541,itarema,-2.92,-39.92,88.02,43,0,20.07,BR,1597681929
542,nanyamba,-10.68,39.83,68.4,67,61,4.45,TZ,1597681929
543,abaete,-19.16,-45.45,90.0,30,4,4.59,BR,1597681929
544,daru,-9.08,143.21,73.92,83,9,9.89,PG,1597681930
545,belmonte,-15.86,-38.88,80.6,65,40,13.87,BR,1597681930
546,mehamn,71.04,27.85,48.2,70,75,17.22,NO,1597681930
547,saurimo,-9.66,20.39,80.51,16,34,2.73,AO,1597681930
548,martapura,-3.42,114.85,77.0,94,76,1.12,ID,1597681831
549,lensk,60.73,114.93,53.89,56,94,4.72,RU,1597681931
550,kysyl-syr,63.9,122.76,44.4,64,12,2.86,RU,1597681931
551,petropavlovka,50.61,105.32,49.75,59,0,4.5,RU,1597681931
552,sangar,63.92,127.47,43.14,66,0,0.87,RU,1597681931
553,ugoofaaru,5.67,73.0,83.01,71,55,3.69,MV,1597681931
554,mumford,5.26,-0.76,75.18,84,46,15.61,GH,1597681931
555,maraa,-1.83,-65.37,98.42,35,47,3.24,BR,1597681932
556,rio verde de mato grosso,-18.92,-54.84,96.76,24,18,8.52,BR,1597681932
557,alghero,40.56,8.32,84.2,70,20,9.17,IT,1597681932
558,praia da vitoria,38.73,-27.07,75.2,88,75,28.9,PT,1597681932
559,constitucion,-35.33,-72.42,54.37,60,0,11.36,CL,1597681932
560,ferkessedougou,9.6,-5.2,84.02,70,56,3.29,CI,1597681933
561,kedrovyy,56.17,91.82,57.2,76,0,2.24,RU,1597681933
562,timra,62.49,17.33,66.99,63,0,12.75,SE,1597681933
563,cayenne,4.93,-52.33,89.6,59,20,10.29,GF,1597681933
564,port macquarie,-31.43,152.92,43.0,94,24,5.32,AU,1597681933
