,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
87,natal,-5.79,-35.21,86.0,51,20,23.04,BR,1597681832
88,kununurra,-15.77,128.73,69.8,85,0,4.34,AU,1597681832
89,japura,-0.32,102.35,76.24,89,89,1.88,ID,1597681832
90,safford,32.83,-109.71,93.2,21,1,11.41,US,1597681832
91,richards bay,-28.78,32.04,65.32,64,65,18.19,ZA,1597681833
92,tasiilaq,65.61,-37.64,46.4,93,75,6.93,GL,1597681833
93,coos bay,43.37,-124.22,64.0,87,90,3.36,US,1597681833
94,bambous virieux,-20.34,57.76,71.6,73,40,9.17,MU,1597681833
95,souillac,-20.52,57.52,71.6,73,40,9.17,MU,1597681833
96,georgetown,5.41,100.34,82.4,83,20,2.59,MY,1597681833
97,carora,10.18,-70.08,90.57,43,32,1.12,VE,1597681834
98,rorvik,64.86,11.24,57.2,67,0,18.34,NO,1597681834
99,katsuura,35.13,140.3,81.0,100,75,1.12,JP,1597681834
100,tiksi,71.69,128.87,47.26,65,100,5.12,RU,1597681834
101,hobyo,5.35,48.53,76.01,79,37,29.75,SO,1597681834
102,avarua,-21.21,-159.78,69.8,73,38,4.7,CK,1597681807
103,ponta do sol,32.67,-17.1,80.6,61,20,16.11,PT,1597681835
104,challans,46.84,-1.87,75.2,53,36,9.17,FR,1597681835
105,beira,-19.84,34.84,75.0,83,20,8.05,MZ,1597681835
106,yulara,-25.24,130.99,62.6,35,0,9.17,AU,1597681835
107,yellowknife,62.46,-114.35,59.0,62,75,5.82,CA,1597681801
108,donskoy,53.97,38.34,63.99,84,12,4.99,RU,1597681836
109,nantucket,41.28,-70.1,68.0,77,90,14.99,US,1597681667
110,parabel,58.7,81.48,61.09,79,100,9.13,RU,1597681836
111,alvorada,-12.48,-49.12,102.96,13,4,6.85,BR,1597681836
112,alta floresta,-9.88,-56.09,102.2,18,9,5.82,BR,1597681836
113,usinsk,65.99,57.53,52.25,77,100,5.06,RU,1597681837
114,homer,59.64,-151.55,57.0,93,40,4.63,US,1597681699
115,chokurdakh,70.63,147.92,38.16,92,100,12.5,RU,1597681837
116,khangah dogran,31.83,73.62,94.62,51,0,10.49,PK,1597681837
117,acari,-15.43,-74.62,73.27,37,28,9.17,PE,1597681837
118,chara,56.91,118.26,41.38,68,0,4.88,RU,1597681837
119,kirakira,-10.45,161.92,77.81,81,77,3.53,SB,1597681838
120,tuatapere,-46.13,167.68,37.0,96,96,1.99,NZ,1597681838
121,nizwa,22.93,57.53,99.23,20,66,3.04,OM,1597681838
122,kodiak,57.79,-152.41,51.8,93,90,5.95,US,1597681839
123,koratla,18.82,78.72,74.52,92,100,14.92,IN,1597681839
124,la ronge,55.1,-105.28,64.4,72,5,4.7,CA,1597681839
125,zharkent,44.16,80.0,78.67,27,46,8.08,KZ,1597681839
126,flin flon,54.77,-101.86,59.0,82,75,6.93,CA,1597681840
127,amarante do maranhao,-5.57,-46.74,98.83,22,64,6.96,BR,1597681840
128,pontianak,-0.03,109.33,76.53,91,24,3.33,ID,1597681764
129,srednekolymsk,67.45,153.68,41.23,84,87,11.54,RU,1597681840
130,mao,39.89,4.27,82.4,69,20,9.17,ES,1597681840
131,aykhal,66.0,111.5,53.6,46,16,3.91,RU,1597681841
132,evensk,61.95,159.23,49.14,52,89,7.67,RU,1597681841
133,te anau,-45.42,167.72,35.96,88,99,1.16,NZ,1597681841
134,charyshskoye,51.4,83.56,60.31,54,83,5.28,RU,1597681841
135,qaqortoq,60.72,-46.03,62.6,42,75,3.36,GL,1597681842
136,marsaxlokk,35.84,14.54,91.4,36,10,9.17,MT,1597681842
137,novoasbest,57.74,60.29,52.66,99,85,6.33,RU,1597681842
138,san vicente de canete,-13.08,-76.38,65.62,62,23,6.78,PE,1597681843
139,kahului,20.89,-156.47,75.2,73,20,10.29,US,1597681725
140,lompoc,34.64,-120.46,73.99,82,1,5.01,US,1597681843
